Movie Name,Year,Duration,IMDb Rating,Metascore,Votes,Gross
Rang De Basanti,2006,167 min,8.1,N/A,121425,2.20M
Bajrangi Bhaijaan,2015,163 min,8.1,N/A,94642,8.18M
Tangerines,2013,87 min,8.1,73,48153,0.14M
Viridiana,1961,91 min,8.1,N/A,25705,N/A
The Grand Illusion,1937,113 min,8.1,N/A,38260,0.17M
Time of the Gypsies,1988,142 min,8.1,N/A,32150,0.28M
The Bandit,1996,128 min,8.1,N/A,71499,N/A
Barfi!,2012,151 min,8.1,N/A,85242,2.80M
Jean de Florette,1986,120 min,8.1,N/A,27068,4.94M
Chak De! India,2007,153 min,8.1,68,83535,1.11M
Anand,1971,122 min,8.1,N/A,34846,N/A
Sholay,1975,162 min,8.1,N/A,57910,N/A
A Wednesday,2008,104 min,8.1,N/A,81091,N/A
Hera Pheri,2000,156 min,8.1,N/A,70969,N/A
Queen,2013,146 min,8.1,N/A,67678,1.43M
The Circus,1928,72 min,8.1,90,35419,N/A
Black,2005,122 min,8.1,N/A,35693,0.73M
Kahaani,2012,122 min,8.1,N/A,64754,1.04M
Udaan,2010,134 min,8.1,N/A,46408,0.01M
Her Sey Çok Güzel Olacak,1998,107 min,8.1,N/A,26930,N/A
Sarfarosh,1999,174 min,8.1,N/A,26513,N/A
Killers of the Flower Moon,2023,206 min,8,89,76271,N/A
Past Lives,2023,105 min,8,94,38683,N/A
Dune,2021,155 min,8,74,724612,108.33M
Blade Runner 2049,2017,164 min,8,81,630465,92.05M
Young Frankenstein,1974,106 min,8,83,166232,86.30M
Donnie Darko,2001,113 min,8,88,834303,1.48M
Black Swan,2010,108 min,8,79,804661,106.95M
The Princess Bride,1987,98 min,8,77,442836,30.86M
Rosemary's Baby,1968,137 min,8,96,229913,N/A
Deadpool,2016,108 min,8,65,1094397,363.07M
La La Land,2016,128 min,8,94,640074,151.10M
The Revenant,2015,156 min,8,76,849381,183.64M
Her,2013,126 min,8,91,651368,25.57M
Sin City,2005,124 min,8,74,786433,74.10M
Guardians of the Galaxy,2014,121 min,8,76,1249115,333.18M
Zootopia,2016,108 min,8,78,530401,341.27M
The Incredibles,2004,115 min,8,90,784593,261.44M
The Avengers,2012,143 min,8,69,1438144,623.28M
The Martian,2015,144 min,8,80,899554,228.43M
Planet of the Apes,1968,112 min,8,79,188547,33.40M
Casino Royale,2006,144 min,8,80,681992,167.45M
Dances with Wolves,1990,181 min,8,72,283285,184.21M
CODA,2021,111 min,8,72,155088,N/A
The Imitation Game,2014,114 min,8,71,807101,91.13M
Big Fish,2003,125 min,8,N/A,453195,66.26M
12 Monkeys,1995,129 min,8,74,637442,57.14M
Groundhog Day,1993,101 min,8,72,666325,70.91M
Aladdin,1992,90 min,8,86,452283,217.35M
Scent of a Woman,1992,156 min,8,N/A,319622,63.90M
Blood Diamond,2006,143 min,8,64,574793,57.37M
Soul,2020,100 min,8,83,361135,N/A
Perfect Blue,1997,81 min,8,67,89335,0.78M
Magnolia,1999,188 min,8,78,323905,22.46M
Beauty and the Beast,1991,84 min,8,95,472219,218.97M
The Graduate,1967,106 min,8,83,284442,104.95M
Rain Man,1988,133 min,8,65,536068,178.80M
The Pursuit of Happyness,2006,117 min,8,64,545891,163.57M
Akira,1988,124 min,8,67,199061,0.55M
The King's Speech,2010,118 min,8,88,699561,138.80M
The Invisible Guest,2016,106 min,8,N/A,187777,N/A
Kill Bill: Vol. 2,2004,137 min,8,83,788515,66.21M
Slumdog Millionaire,2008,120 min,8,84,867414,141.32M
JFK,1991,189 min,8,72,166113,70.41M
Dogville,2003,178 min,8,61,155840,1.53M
Life of Brian,1979,94 min,8,77,416448,20.05M
Chungking Express,1994,102 min,8,78,91707,0.60M
Dog Day Afternoon,1975,125 min,8,86,268819,50.00M
Annie Hall,1977,93 min,8,92,273788,39.20M
Lion,2016,118 min,8,69,246399,51.74M
What Ever Happened to Baby Jane?,1962,134 min,8,75,60310,4.05M
The Night of the Hunter,1955,92 min,8,97,95177,0.65M
Cinderella Man,2005,144 min,8,69,195077,61.65M
Do the Right Thing,1989,120 min,8,93,109607,27.55M
The Bourne Ultimatum,2007,115 min,8,85,651051,227.47M
Fitzcarraldo,1982,158 min,8,N/A,37503,N/A
Butch Cassidy and the Sundance Kid,1969,110 min,8,66,223655,102.31M
The Last Picture Show,1971,118 min,8,93,51265,29.13M
Sling Blade,1996,135 min,8,84,97376,24.48M
The Cabinet of Dr. Caligari,1920,67 min,8,N/A,68424,N/A
Papillon,1973,151 min,8,N/A,136253,53.27M
Fiddler on the Roof,1971,181 min,8,67,46369,80.50M
Ip Man,2008,106 min,8,N/A,231073,N/A
Castle in the Sky,1986,125 min,8,78,176214,N/A
Mommy,2014,139 min,8,74,60515,3.49M
Nausicaä of the Valley of the Wind,1984,117 min,8,86,177665,0.50M
Roman Holiday,1953,118 min,8,78,144895,N/A
Gandhi,1982,191 min,8,79,237983,52.77M
La Dolce Vita,1960,174 min,8,95,76786,19.52M
8½,1963,138 min,8,93,123142,0.05M
Anatomy of a Murder,1959,161 min,8,95,69751,11.90M
Solaris,1972,167 min,8,93,96250,N/A
Rio Bravo,1959,141 min,8,93,66659,12.54M
Pink Floyd: The Wall,1982,95 min,8,N/A,84107,22.24M
High Noon,1952,85 min,8,89,108512,9.45M
Touch of Evil,1958,95 min,8,99,108305,2.24M
The Maltese Falcon,1941,100 min,8,97,164285,2.11M
Out of the Past,1947,97 min,8,85,39914,N/A
Le Samouraï,1967,101 min,8,N/A,55126,0.04M
Mirror,1975,107 min,8,82,50636,0.18M
The Legend of 1900,1998,169 min,8,N/A,67949,0.26M
Infernal Affairs,2002,101 min,8,75,129372,0.17M
The Straight Story,1999,112 min,8,86,95139,6.20M
Baahubali: The Beginning,2015,159 min,8,N/A,132866,6.74M
The Hustler,1961,134 min,8,90,85487,8.28M
Wolfwalkers,2020,103 min,8,87,36961,N/A
The Shop Around the Corner,1940,99 min,8,96,36488,0.20M
